,movie,director,evaluation
716,Inglourious Basterds,Quentin Tarantino,95.0
717,Das weiße Band - Eine deutsche Kindergeschichte ,Michael Haneke,85.0
718,Irreversible,Gaspard Noé,63.0
719,Avatar ,James Cameron,87.0
720,Avatar ,James Cameron,87.0
721,Magnolia,Paul Thomas Anderson,100.0
722,Magnolia,Paul Thomas Anderson,100.0
723,Shutter Island,Martin Scorsese,92.0
725,Solaris,Andrej Tarkowski,83.0
726,Lisbon Story,Wim Wenders,60.0
727,Eternal Sunshine of a Spotless Mind,Michael Gondry,84.0
728,Fight Club,David Fincher,97.0
729,Le scaphandre et le papillon,Julian Schnabel,89.0
730,The Darjeeling Limited,Wes Anderson,83.0
731,Magnolia,Paul Thomas Anderson,100.0
732,Funny Games U.S.,Michael Haneke,67.0
733,Down by Law,Jim Jarmusch,65.0
734,28 Days Later,Danny Boyle,83.0
735,Blade Runner,Ridley Scott,91.0
736,Kill Bill: Vol. 2,Quentin Tarantino,94.0
737,Kill Bill: Vol. 1,Quentin Tarantino,96.0
746,A Beautiful Mind,Ron Howard,90.0
