,movie,director,evaluation
150,En passion,Ingmar Bergman,82.0
151,Naked Lunch,David Cronenberg,72.0
152,Monos,Alejandro Landes,80.0
153,Nostalgia de Luz,Patricio Guzman,73.0
154,The Last Airbender,M. Night Shyamalan,45.0
155,Color Out of Space,Richard Stanley,65.0
156,Dark Staffel 3,Baran bo Odar,70.0
157,The Raid,Gareth Evans,84.0
158,Death on the Nile,John Guillermin,89.0
159,Casablanca,Michael Curtiz,92.0
160,Evil under the Sun,Guy Hamilton,79.0
161,Airplane!,David Zucker,75.0
163,I am not your negro,Raoul Peck,78.0
164,Stranger Than Paradise,Jim Jarmusch,81.0
165,The Housemaid,Sang-soo Im,75.0
166,Paranza,Claudio Giovannesi,81.0
167,Detachment,Tony Kaye,85.0
168,Little Miss Sunshine,Jonathan Dayton,85.0
169,Permanent Vacation,Jim Jarmusch,70.0
170,The Butler,Lee Daniels,83.0
171,Vladimir et Rosa,Jean-Luc Godard,61.0
172,Cidade de Deus,Fernando Meirelles,89.0
173,Slow West,John Maclean,78.0
174,Au hasard Balthazar,Robert Bresson,75.0
175,Kill Bill: Vol. 1,Quentin Tarantino,99.0
176,"Nona. Si me mojan, yo los quemo",Camila José Donoso,57.0
177,"Three Billboards outside Ebbing, Missouri",Martin McDonagh,83.0
178,Climax,Gaspard Noé,83.0
179,Southland Tales,Richard Kelly,65.0
180,Sen to Chihiro no kamikakushi,Hayao Miyazaki,79.0
181,Bacurau,Juliano Dornelles,79.0
182,Suffragette,Sarah Gavron,77.0
183,Roads,Sebastian Schipper,75.0
184,The Big Lebowski,Coen Brueder,89.0
186,Idioterne,Lars von Trier,80.0
187,Hauru no ugoku shiro,Hayao Miyazaki,77.0
188,The Great Dictator,Charlie Chaplin,82.0
189,Tonari no Totoro,Hayao Miyazaki,80.0
190,El Hoyo,Galder Gaztelu-Urrutia,74.0
191,Safari,Ulrich Seidl,79.0
192,The Lost World: Jurassic Park,Steven Spielberg,71.0
193,Her,Spike Jonze,73.0
194,Suburbicon,George Clooney,59.0
195,Hidden Figures,Theodore Melfi,79.0
196,The Red Phallus,Tashi Gyeltshen,77.0
198,Uncut Gems,Safdie Brothers,79.0
199,Manbiki kazoku ,Hirokazu Koreeda,68.0
200,Bouyancy,Rodd Rathjen,76.0
201,Vormittagsspuk,Hans Richter,66.0
202,Tsotsi,Gavin Hood,75.0
203,The Cabin the Woods,Drew Goddard,71.0
204,The Gentlemen,Guy Ritchie,74.0
205,The Big Short,Adam McKay,90.0
206,The Departed,Martin Scorsese,83.0
207,Für Sama,Waad al-Kateab,79.0
208,Systemsprenger,Nora Fingscheidt,78.0
209,What did Jack do?,David Lynch,76.0
210,Jojo Rabbit,Taika Waititi,87.0
211,J'accuse,Roman Polanski,76.0
215,A Hidden Life,Terrence Malick,88.0
216,Once upon a Time in Hollywood,Quentin Tarantino,89.0
217,To catch a thief,Alfred Hitchcock,73.0
218,Still Alice,Richard Glatzer,75.0
219,1917,Sam Mendes,80.0
221,Jojo Rabbit,Taika Waititi,84.0
223,Les miserables,Ladj Ly,76.0
225,Queen & Slim,Melina Matsoukas,73.0
226,Countdown,Justin Dec,51.0
227,Ex Machina,Alex Garland,95.0
229,The Kid,Charlie Chaplin,79.0
230,Snowpiercer,Bong Joon-Ho,90.0
231,Knives out,Rian Johnson,73.0
232,J'ai perdu mon corps,Jérémy Clapin,65.0
233,Magnolia,Paul Thomas Anderson,99.0
234,Dogman,Matteo Garrone,85.0
235,Murder on the Orient Express ,Sidney Lumet,80.0
236,Ödipussi,Loriot,86.0
237,Okja,Bong Joon-Ho,81.0
238,Star Wars: Episode IX - The Rise of Skywalker ,J.J. Abrams,65.0
240,Home alone,Chris Columbus,80.0
243,Little Lord Fauntleroy,Jack Gold,73.0
244,National Lampoon's Christmas Vacation ,Jeremiah S. Chechik,80.0
245,O Palmenbaum,Xaver Schwarzenberg,71.0
246,Single Bells,Xaver Schwarzenberg,80.0
247,The Lighthouse,Robert Eggers,75.0
250,The Irishman,Martin Scorsese,75.0
252,Paranoid Park,Gus van Sant,79.0
254,Walk the Line,James Mangold,73.0
256,The Wailing,Na Hong-Jin,73.0
257,The Lord of the Rings: The Fellowship of the Ring ,Peter Jackson,93.0
258,The Host,Bong Joon-Ho,95.0
260,Memories of Murder,Bong Joon-Ho,79.0
261,Isle Of Dogs,Wes Anderson,90.0
262,Donnie Darko,Richard Kelly,85.0
265,The King's Speech,Tom Hooper,81.0
266,Joker,Todd Philipps,77.0
267,Parasite,Bong Joon-Ho,81.0
268,The Hangover,Todd Philipps,64.0
269,Edge of Tomorrow,Doug Liman,78.0
270,Iron Man 2,Jon Favreau,69.0
271,The Social Network,David Fincher,71.0
272,It: Chapter Two,Andres Muschietti,80.0
273,Super 8,J.J. Abrams,78.0
274,Good Bye Lenin!,Wolfgang Becker,79.0
275,Tomboy,Celine Sciamma,79.0
276,Ad Astra,James Gray,73.0
277,Scott Pilgrim vs. The World,Edgar Wright,80.0
278,Benny's Video,Michael Haneke,72.0
279,Noah,Darren Aronofsky,79.0
280,Tschick,Fatih Akin,70.0
281,Drive,Nicolas Winding Refn,75.0
282,Love,Gaspard Noé,80.0
284,Le petit soldat,Jean-Luc Godard,77.0
285,Midnight Express,Alan Parker,74.0
286,The Theory of Everything,James Marsh,73.0
287,I Am Mother,Grant Sputore,72.0
288,Exit through the gift shop,Banksy,71.0
289,Solaris,Andrej Tarkowski,86.0
290,Once upon a Time in Hollywood,Quentin Tarantino,86.0
291,Todos lo saben,Asghar Farhadi,49.0
292,IP Man,Wilson Yip,67.0
294,Easy Rider,Dennis Hopper,81.0
295,Shame,Steve McQueen,71.0
296,Gran Budapest Hotel,Wes Anderson,89.0
297,The Game,David Fincher,90.0
298,Hoestsonaten,Ingmar Bergman,81.0
299,Caché,Michael Haneke,83.0
300,Seom,Kim Ki Duk,80.0
301,Lucky,John Caroll Lynch,61.0
302,Salo o le 120 giornate di Sodoma,Pier Paolo Pasolini,78.0
303,Viskningar och rop,Ingmar Bergman,73.0
305,Once upon a Time in the West,Sergio Leone,84.0
306,Inception,Christopher Nolan,95.0
308,Vargtimmen,Ingmar Bergman,83.0
310,I dont feel at home in this world anymore,Macon Blair,51.0
311,Ausser Atem,Jean-Luc Godard,76.0
312,Killing them softly,Andrew Dominik,32.0
313,The Dark Tower,Nikolaj Arcel,54.0
315,The Dead Don't Die,Jim Jarmusch,67.0
320,"Yes, Man",Peyton Reed,68.0
321,Lommbock,Christian Zübert,79.0
323,The Girl on the train,Tate Taylor,65.0
324,Taxi Driver,Martin Scorsese,89.0
325,The Hours,Stephen Daldry,70.0
327,Alien,Ridley Scott,91.0
328,La Hora de los hornos,Octavio Getino,60.0
329,The Thing,John Carpenter,69.0
331,Avengers - Endgame,Anthony Russo,59.0
332,Rear Window,Alfred Hitchcock,91.0
333,Blues Brothers,John Landis,79.0
334,Fitzcarraldo,Werner Herzog,69.0
335,Verachtung,Christoffer Boe,49.0
338,Fight Club,David Fincher,98.0
339,Demolition,Jean-Marc Vallée,61.0
340,Climax,Gaspard Noé,73.0
341,Zodiac,David Fincher,78.0
342,Patong Girl,Susanna Salonen,71.0
343,At Eternity's Gate,Julian Schnabel,76.0
345,Anchorman,Adam McKay,69.0
346,The Old Man & the Gun,David Lowery,56.0
348,Der goldene Handschuh,Fatih Akin,70.0
349,Green Book,Peter Farrelly,75.0
350,Free Solo,Jimmy Chin,70.0
352,There is nothing out there,Rolfe Kanefsky,63.0
353,Taken,Pierre Morel,69.0
354,Twarz,Malgorzata Szumowska,51.0
355,127 Hours,Danny Boyle,77.0
356,Sully,Clint Eastwood,74.0
357,Captain Marvel,Anna Boden,69.0
358,The Mule,Clint Eastwood,65.0
359,8 Mile,Curtis Hanson,70.0
360,Hanami,Dorris Doerie,100.0
361,Moonlight,Barry Jenkins,74.0
362,Rush,Ron Howard,74.0
363,Vice,Adam McKay,79.0
365,The Godfather: Part II,Francis Ford Coppola,92.0
366,The Godfather,Francis Ford Coppola,95.0
367,Un chien andalou,Luis Bunuel,63.0
368,Black Swan,Darren Aronofsky,85.0
369,Dawn of the Dead,Zack Snyder,76.0
370,Schindler's List,Steven Spielberg,79.0
371,The Big Short,Adam McKay,97.0
373,By the name of Tania,,60.0
374,Capernaum,Nadine Labaki,95.0
375,BlackkKlansman,Spike Lee,85.0
377,Face/Off,John Woo,76.0
378,The Ballad of Buster Scruggs,Coen Brueder,70.0
379,The Favourite,Yorgios Lanthimos,71.0
380,Black Mirror: Bandersnatch,,73.0
381,Relatos salvajes,Damián Szifron,83.0
383,The House That Jack Built,Lars von Trier,76.0
384,Shaun of the Dead,Edgar Wright,85.0
385,Capernaum,Nadine Labaki,95.0
387,Bird Box,Susanne Bier,41.0
388,Metropolis,Fritz Lang,70.0
391,Roma,Alfonso Cuaron,79.0
392,Sideways,Alexander Payne,69.0
393,Fantastic Beasts: The Crimes of Grindelwald,David Yates,35.0
394,The Florida Project,Sean Baker,92.0
395,Ödipussi,Loriot,92.0
396,Miracle on 34th Street,Les Mayfield,79.0
398,National Lampoon's Christmas Vacation ,Jeremiah Chechik,80.0
399,O Palmenbaum,Xaver Schwarzenberg,83.0
400,Single Bells,Xaver Schwarzenberg,79.0
401,Coco,Lee Unkrich,55.0
402,The Lord of the Rings: The Return of the King ,Peter Jackson,96.0
403,Interstellar,Christopher Nolan,99.0
404,Blade Runner 2049,Denis Villeneuve,98.0
407,The Lord of the Rings: The Two Towers,Peter Jackson,98.0
408,The Lord of the Rings: The Fellowship of the Ring ,Peter Jackson,93.0
410,Source Code,Duncan Jones,79.0
411,Nocturnal Animals,Tom Ford,72.0
412,Snatch,Guy Ritchie,70.0
413,Pi,Darren Aronofsky,79.0
414,The Machinist,Brad Anderson,77.0
415,Nosferatu,Friedrich Wilhelm Murnau,65.0
416,The World's End,Edgar Wright,80.0
417,Das weiße Band - Eine deutsche Kindergeschichte ,Michael Haneke,75.0
418,First Man,Damien Chazelle,78.0
419,Catch me if you can,Steven Spielberg,81.0
420,Cabros de Mierda,Gonzalo Justiniano,63.0
421,Apocalypse Now,Francis Ford Coppola,98.0
422,Johnny English Strikes Again,David Kerr,51.0
424,Same Same But Different,Detlev Buck,65.0
425,Deadpool 2,David Leitch,73.0
426,Jurassic World: Fallen Kingdom,J.A. Bayona,53.0
427,Jumanji: Welcome to the Jungle,Jake Kasdan,55.0
428,Frozen,Chris Buck,56.0
429,Iron Man,Jon Favreau,78.0
430,Solo: A Star Wars Story ,Ron Howard,60.0
431,Ready Player One,Steven Spielberg,80.0
433,The Man Who Killed Don Quixote,Terry Gilliam,45.0
436,Paradies: Hoffnung,Ulrich Seidl,74.0
437,Germania anno zero,Roberto Rossellini,71.0
438,Ex Machina,Alex Garland,93.0
439,Paradies: Glaube,Ulrich Seidl,72.0
440,Breaking Bad: Pilot,,49.0
441,Mad Max: Fury Road,George Miller,95.0
442,Dark - Staffel 1,,36.0
443,Das Leben der Anderen,Florian Henckel von Donnersmarck,86.0
444,The Great Gatsby,Baz Luhrmann,67.0
445,Life of Brian,Terry Jones,78.0
446,Watchmen,Zack Snyder,74.0
447,Train to Busan,Sang-ho Yeon,74.0
448,The Big Lebowski,Coen Brueder,92.0
450,Avatar ,James Cameron,91.0
451,Back to the Future Part III,Robert Zemeckis,92.0
452,The Secret Life of Walter Mitty,Ben Stiller,86.0
454,2001: A Space Odyssey,Stanley Kubrick,96.0
456,Isle Of Dogs,Wes Anderson,89.0
462,The Incredible Hulk ,Louis Leterrier,68.0
463,Avengers: Infinity War,Anthony Russo,95.0
464,Robin Hood ,Ridley Scott,59.0
466,A Quiet Place,John Krasinski,70.0
467,Son of Saul,László Nemes,78.0
468,The People vs. Larry Flynt,Milos Forman,75.0
469,The Motorcycle Diaries,Walter Salles,68.0
470,Paradies: Liebe,Ulrich Seidl,73.0
471,Lady Bird,Greta Gerwig,70.0
473,Avatar ,James Cameron,91.0
474,Centurion,Neil Marshall,63.0
476,Annihilation,Alex Garland,79.0
477,Death on the Nile,John Guillermin,90.0
478,Breakfast at Tiffany's ,Blake Edwards,85.0
480,All is Lost,J. C. Chandor,79.0
481,The Green Mile,Frank Darabont,89.0
483,The Florida Project,Sean Baker,89.0
485,Wir Wunderkinder,Kurt Hoffmann,79.0
486,Wonder Woman,Patty Jenkins,70.0
487,Paul,Greg Mottola,61.0
489,Loving Vincent,"Dorota Kobiela, Hugh Welchman",92.0
490,Rear Window,Alfred Hitchcock,93.0
491,The Mummy Returns ,Stephen Sommers,74.0
492,The Mummy,Stephen Sommers,77.0
493,Arthur and Claire,Miguel Alexandre,70.0
494,Symphonie einer Weltstadt,Leo de Laforgue,70.0
495,The Post,Steven Spielberg,71.0
496,La La Land,Damien Chazelle,83.0
497,Interstellar,Christopher Nolan,97.0
498,The Disaster Artist,James Franco,92.0
499,The Shape of Water,Guillermo del Toro,79.0
500,Phantom Thread,Paul Thomas Anderson,73.0
502,"Three Billboards outside Ebbing, Missouri",Martin McDonagh,94.0
503,The Fountain,Darren Aronofsky,76.0
505,Solaris,Andrej Tarkowski,85.0
506,Eyes Wide Shut,Stanley Kubrick,75.0
507,The Host,Bong Joon-Ho,90.0
508,Loving Vincent,"Dorota Kobiela, Hugh Welchman",89.0
509,Dogtooth,Yorgios Lanthimos,79.0
510,(500) Days of Summer,Marc Webb,75.0
511,Modern Times,Charlie Chaplin,75.0
512,The Killing of a Sacred Deer,Yorgios Lanthimos,85.0
514,Soul Kitchen,Fatih Akin,85.0
515,Stand by Me,Rob Reiner,81.0
516,Cloud Atlas,"Tom Tykwer, Lana Wachowski, Lilly Wachowski",79.0
517,Interstellar,Christopher Nolan,100.0
518,Jurassic World,Colin Trevorrow,78.0
519,Star Wars: Episode VIII - The Last Jedi ,Rian Johnson,65.0
520,Mad Max: Fury Road,George Miller,90.0
523,Inside Out,Pete Docter,60.0
524,The Lord of the Rings: The Return of the King ,Peter Jackson,95.0
525,Manifesto,Julian Rosefeldt,67.0
526,Aus dem Nichts,Fatih Akin,85.0
528,Detroit,Kathryn Bigelow,92.0
531,Stranger Things Staffel 2,,52.0
532,The Lord of the Rings: The Two Towers,Peter Jackson,97.0
533,The Lord of the Rings: The Fellowship of the Ring ,Peter Jackson,96.0
534,Fear and Loathing in Las Vegas,Terry Gilliam,85.0
535,The Dark Knight,Christopher Nolan,98.0
536,Simpel,Markus Goller,59.0
537,Stranger Things Staffel 1,,65.0
538,Mother!,Darren Aronofsky,74.0
539,La grande bellezza,Paolo Sorrentino,65.0
540,Baby Driver,Edgar Wright,65.0
541,Blade Runner 2049,Denis Villeneuve,95.0
542,Happy End,Michael Haneke,64.0
543,La Strada,Federico Fellini,73.0
544,Elle,Paul Verhoeven,76.0
545,It: Chapter One,Andres Muschietti,76.0
546,Dunkirk,Christopher Nolan,84.0
547,The Lobster,Yorgios Lanthimos,87.0
548,Valerian and the City of a Thousand Planets,Luc Besson,65.0
549,"Maria, ihm schmeckt's nicht!",Neele Vollmar,60.0
550,The Party,Ben Falcone,73.0
552,300: Rise of an Empire,Noam Murro,70.0
553,The Beguiled,Sophia Coppola,65.0
554,300,Zack Snyder,85.0
555,Der Himmel ueber Berlin,Wim Wenders,79.0
556,Blade Runner,Ridley Scott,94.0
557,War for the Planet of the Apes,Rupert Wyatt,81.0
558,Rise of the Planet of the Apes,Rupert Wyatt,84.0
559,Dawn of the Planet of the Apes,Rupert Wyatt,83.0
560,Get Out,Jordan Peele,75.0
564,Wall-E,Andrew Stanton,70.0
565,Suicide Squad,David Ayer,60.0
566,Alien: Covenant,Ridley Scott,71.0
567,Batman Begins,Christopher Nolan,79.0
568,Inside Man,Spike Lee,86.0
569,Logan,James Mangold,70.0
570,X-Men Origins: Wolverine,Gavin Hood,65.0
571,Doctor Strange,Scott Derrickson,69.0
572,The Lego Batman Movie,,65.0
573,Passengers,Morten Tyldum,69.0
574,The Day The Earth Stood Still,Scott Derrickson,65.0
575,Trainspotting,Danny Boyle,87.0
576,The Wrestler,Darren Aronofsky,85.0
578,Inception,Christopher Nolan,94.0
579,No Country for old Men,Coen Brueder,89.0
580,Manchester by the Sea,David Lowery,83.0
581,Night on Earth,Jim Jarmusch,83.0
582,T2 Trainspotting,Danny Boyle,74.0
583,Split,M. Night Shyamalan,75.0
584,Arrival,Denis Villeneuve,80.0
585,Wild,Jean-Marc Vallée,72.0
586,Brazil,Terry Gilliam,87.0
587,Aliens,James Cameron,95.0
588,Alien 3,David Fincher,91.0
589,Alien: Resurrection,Jean-Pierre Jeunet,73.0
590,Prometheus,Ridley Scott,80.0
591,Interstellar,Christopher Nolan,99.0
592,Alien,Ridley Scott,95.0
593,Star Wars: Episode II - Attack of the Clones ,George Lucas,75.0
594,Rogue One,Gareth Edwards,70.0
596,La Piel Que Habito,Pedro Almodovar,79.0
597,Ex Machina,Alex Garland,96.0
598,Single Bells,Xaver Schwarzenberg,85.0
599,O Palmenbaum,Xaver Schwarzenberg,84.0
600,Money Monster,Jodie Foster,75.0
601,The Lord of the Rings: The Return of the King ,Peter Jackson,97.0
602,The Lord of the Rings: The Two Towers,Peter Jackson,96.0
603,The Lord of the Rings: The Fellowship of the Ring ,Peter Jackson,95.0
604,X-Men Origins: Wolverine,Gavin Hood,65.0
606,Schneider vs. Bax,Alex van Warmerdam,65.0
607,The Big Short,Adam McKay,95.0
608,Pulp Fiction,Quentin Tarantino,96.0
609,Cars,John Lasseter,70.0
610,The Jungle Book,Jon Favreau,60.0
611,The Jungle Book,Wolfgang Reitherman,80.0
612,Batman v Superman: Dawn of Justice,Zack Snyder,81.0
613,Man of Steel,Zack Snyder,80.0
614,Captain America: Civil War,Joe Russo,84.0
615,Iron Man,Jon Favreau,83.0
616,X-Men Apocalypse,Bryan Singer,76.0
617,Colonia,Florian Gallenberger,74.0
618,Warcraft,Duncan Jones,70.0
619,a pigeon sat on a branch reflecting on existence,Roy Andersson,83.0
620,Angst Essen Seele auf,Rainer Werner Fassbinder,83.0
621,Room,Lenny Abrahamson,84.0
622,The Finest Hours,Craig Gillespie,59.0
623,Criminal Activities,Jackie Earle Haley,42.0
624,"Hail, Caesar!",Coen Brueder,64.0
625,Spotlight,Tom McCarthy,70.0
626,The Martian,Ridley Scott,80.0
627,Steve Jobs,Danny Boyle,75.0
628,Pixels,Chris Columbus,65.0
630,Fight Club,David Fincher,95.0
631,The Hateful Eight,Quentin Tarantino,97.0
632,Festen,Thomas Vinterberg,91.0
633,Victor Frankenstein,Paul McGuigan,61.0
634,Le tout nouveau testament,Jaco Van Dormael,60.0
635,The Big Short,Adam McKay,95.0
637,Snowpiercer,Bong Joon-Ho,86.0
638,Goosebumps,Rob Letterman,65.0
639,Carol,Todd Haynes,74.0
640,The Revenant,Guillermo del Toro,81.0
642,Seefeuer,Gianfranco Rosi,75.0
645,a pigeon sat on a branch reflecting on existence,Roy Andersson,83.0
646,National Lampoon's Christmas Vacation ,Jeremiah S. Chechik,80.0
647,Ex Machina,Alex Garland,95.0
